geom,nombre_del_espacio,longitude,latitude,ano_de_apertura
POINT(-99.1516311 19.4728185),Foro Cultural Azcapotzalco,"-99,1516311","19,4728185",  1950030100000000000
POINT(-99.182102316664 19.335815773801),"Centro Universitario Cultural, A. C.","-99,18210232","19,33581577",  1962052500000000000
POINT(-99.1435788594097 19.3234157218791),Cinema Volcán,"-99,14357886","19,32341572",  1964091800000000000
POINT(-99.1607280189246 19.3500189693705),Museo Nacional de Culturas Populares,"-99,16072802","19,35001897",  1982092400000000000
POINT(-99.1928472170796 19.3367905541833),Universidad del Cine,"-99,19284722","19,33679055",  1991100700000000000
POINT(-99.1596215170792 19.3579073610424),Instituto del Derecho de Asilo Museo casa de León Trotsky AC,"-99,15962152","19,35790736",  1996041800000000000
POINT(-99.1327661823202 19.4293422903427),Un paseo por los libros A.C. (espacio de exhibición),"-99,13276618","19,42934229",  1997022700000000000
POINT(-99.1013282 19.4873148135201),CERES-CINE CLUB ,"-99,1013282","19,48731481",  2000081800000000000
POINT(-99.1390384780367 19.4513600621356),Cine club Bravo,"-99,13903848","19,45136006",  2001050900000000000
POINT(-99.042345462697 19.2900749446547),Cineclubes Foro arteria ,"-99,04234546","19,29007494",  2002032200000000000
POINT(-99.1258329 19.4061636),Cineclub Psicocinema,"-99,1258329","19,4061636",  2003042500000000000
POINT(-98.9952482994899 19.2213321752624),Cine Club Olla de Piedra,"-98,9952483","19,22133218",  2005041100000000000
POINT(-99.2168835 19.2059986),Centro Comunitario Ahuayoto,"-99,2168835","19,2059986",  2005042400000000000
POINT(-99.1340288203651 19.4390616061438),Centro Cultural del México Contemporáneo,"-99,13402882","19,43906161",  2005120100000000000
POINT(-99.1720656699066 19.4161871511649),Cine Club Condesa (es el mismo que cineclub Casa Negra?),"-99,17206567","19,41618715",  2006101000000000000
POINT(-98.9931635180771 19.2184599352247),Cine Club Comunitario Metzli,"-98,99316352","19,21845994",  2008041200000000000
POINT(-99.0224338113064 19.2991938923603),Espacio de Proyección Underground Paradise,"-99,02243381","19,29919389",  2008042200000000000
POINT(-99.0961530220113 19.2775581547066),Noctambulante,"-99,09615302","19,27755815",  2008042700000000000
POINT(-99.281682694349 19.3423022876523),Cine Foro Mayahuel ,"-99,28168269","19,34230229",  2009031600000000000
POINT(-99.1033650536789 19.4474653860858),CINE CLUB UNDERCITY,"-99,10336505","19,44746539",  2010011000000000000
POINT(-99.0734765473513 19.3566451534425),Cine Club Casa de las Bombas ,"-99,07347655","19,35664515",  2010110100000000000
POINT(-98.9993162505364 19.2851026903328),Los olvidados,"-98,99931625","19,28510269",  2011031000000000000
POINT(-99.1636055594111 19.2353781199231),Cine Club Xicalco,"-99,16360556","19,23537812",  2011031500000000000
POINT(-99.1807662 19.3408218),Cineclub El Cuarto Amarillo Altillo Universidad,"-99,1807662","19,3408218",  2011112300000000000
POINT(-99.1563266594083 19.409941096791),Espacio de convivencia,"-99,15632666","19,4099411",  2012021600000000000
POINT(-99.1604878017965 19.4089609499019),Cine Tonalá,"-99,1604878","19,40896095",  2012030200000000000
POINT(-99.1719798392009 19.4162579818595),Cineclub Casa Negra (antes Cine Oculto),"-99,17197984","19,41625798",  2012080800000000000
POINT(-98.9968382185159 19.335288827189),ENCUENTRO CINECLUB,"-98,99683822","19,33528883",  2012081500000000000
POINT(-99.1759269 19.4228005),Sala de Cine Más Allá (CENTRO DE CULTURA DIGITAL),"-99,1759269","19,4228005",  2012100900000000000
POINT(-99.1583636492017 19.4118223609096),Ovnibus,"-99,15836365","19,41182236",  2013020300000000000
POINT(-99.1596484492028 19.3697370838352),Cine Móvil ToTo ,"-99,15964845","19,36973708",  2013020500000000000
POINT(-99.1550175845889 19.4233159114203),Cine Club Itinerante JADEvolucion-arte,"-99,15501758","19,42331591",  2013020800000000000
,CineForo Mayahuel,"-99,28174465",,  2013042700000000000
POINT(-99.1338966473502 19.399379196135),Centro cultural Foro la Cura,"-99,13389665","19,3993792",  2013051100000000000
POINT(-99.1346221338574 19.4280815944912),Cinito Cinedebate,"-99,13462213","19,42808159",  2013091500000000000
POINT(-99.1027622626967 19.3002955323732),Cine Club Audiencia Soñada,"-99,10276226","19,30029553",  2014010100000000000
POINT(-99.1095124643844 19.318648),CINECLUB CULHUACÁN,"-99,10951246","19,318648",  2014082600000000000
POINT(-99.1308225203652 19.4339274795682),Casa de la Primera Imprenta de América ,"-99,13082252","19,43392748",  2015010100000000000
POINT(-99.203895695225 19.4501033349907),Cinema Paradiso Univi (Universidad de Vida para Personas Mayores),"-99,2038957","19,45010333",  2015011000000000000
POINT(-99.1647339 19.3606529),Cineclub Cineteca 43,"-99,1647339","19,3606529",  2015013100000000000
POINT(-99.1599611189231 19.4508303470259),Casa Gallina AC. ,"-99,15996112","19,45083035",  2015020100000000000
POINT(-99.1862279 19.34839),Alianza francesa - San Ángel,"-99,1862279","19,34839",  2015030100000000000
POINT(-99.1458963 19.4424262),Campamentos Unidos (Sede Zarco),"-99,1458963","19,4424262",  2015040400000000000
POINT(-99.0056686 19.2690289),CineClub Comunitario Riachuelo Sepentino,"-99,0056686","19,2690289",  2015041300000000000
POINT(-99.1479996935196 19.4495972405689),Campamentos Unidos (Sede Zaragoza),"-99,14799969","19,44959724",  2015050500000000000
POINT(-99.0498364338605 19.3108412863648),CINE CLUB Cine Vagabundo ,"-99,04983643","19,31084129",  2015060100000000000
POINT(-99.1342656 19.4013943),Semillero de Copil,"-99,1342656","19,4013943",  2015062700000000000
POINT(-99.1857778630992 19.3879889701325),LA CALACA Espacio Cultural ,"-99,18577786","19,38798897",  2015071300000000000
POINT(-99.2115325 19.4969147),Centro Cultural Xitle ,"-99,2115325","19,4969147",  2015080200000000000
POINT(-99.1676668358265 19.2658996798668),Cine club El gato azul,"-99,16766684","19,26589968",  2015100400000000000
POINT(-99.2822939219825 19.352783906492),Cineclub de la División de Ciencias de la Comunicación y Diseño UAM Cuajimalpa,"-99,28229392","19,35278391",  2015101100000000000
POINT(-99.1846849 19.3783738),Los Cronopios sin fama,"-99,1846849","19,3783738",  2015103100000000000
POINT(-99.1471287 19.4339618),Cinestésica,"-99,1471287","19,4339618",  2015120800000000000
POINT(-99.1727876305743 19.3480565797732),Terminal Coyacán,"-99,17278763","19,34805658",  2016010500000000000
POINT(-99.0901200473556 19.1911281299955),Casa de las Artes Cuauhtenco,"-99,09012005","19,19112813",  2016032100000000000
POINT(-99.1880212 19.2980103),Cine Villa  Olímpica,"-99,1880212","19,2980103",  2016042300000000000
POINT(-99.1864614722747 19.3332437295346),Teatro Estefanía Chávez Barragán,"-99,18646147","19,33324373",  2016080800000000000
POINT(-99.1548072232497 19.3968975146655),Ciclos de cine de Chapata Vive Café,"-99,15480722","19,39689751",  2016082800000000000
POINT(-99.162340532006 19.4117992798982),"Festival Internacional de Cine y Comedia, 24Risas por Segundo.","-99,16234053","19,41179928",  2016090700000000000
POINT(-99.142007860841 19.4475297498666),Comunidad nueva ,"-99,14200786","19,44752975",  2016110200000000000
POINT(-99.1911961987024 19.4327317936245),Cineclub y Charla en Alianza Francesa Polanco,"-99,1911962","19,43273179",  2016110900000000000
POINT(-99.1428912 19.4381352),Cine La Nana,"-99,1428912","19,4381352",  2016111600000000000
POINT(-99.1320170916921 19.4358332520533),Ciclo de Cine- Debate. El Colegio Nacional,"-99,13201709","19,43583325",  2016121200000000000
POINT(-99.1545689305729 19.436379295446),Cine Club Revolución ,"-99,15456893","19,4363793",  2017010100000000000
,Cineteca para raros,,,  2017021400000000000
POINT(-99.0567259143711 19.32381602093),Cine Club CODECO Chavos Banda,"-99,05672591","19,32381602",  2017030900000000000
POINT(-99.0477456761899 19.2580831516597),Casa ciclista Xochimilco ,"-99,04774568","19,25808315",  2017032100000000000
,Cine Club Indigente Copal,,,  2017043000000000000
POINT(-98.9966755124312 19.3421155439224),Centro Comunitario,"-98,99667551","19,34211554",  2017050300000000000
POINT(-99.1734808152356 19.2593856636878),Cine Club Indigente Copal,"-99,17348082","19,25938566",  2017051500000000000
POINT(-99.1098384042288 19.3976076257187),Cineclub Jarillas,"-99,1098384","19,39760763",  2017061700000000000
POINT(-99.1984173477599 19.3392210746357),Ícaro Espacio,"-99,19841735","19,33922107",  2017062800000000000
POINT(-99.1546513900876 19.4785675184549),Muestra de Cortometrajes el Cine desde Diversas Trincheras,"-99,15465139","19,47856752",  2017081000000000000
POINT(-99.1701144 19.39291),Cineclub Casa Patricio ,"-99,1701144","19,39291",  2017081100000000000
