geom,idespacio,nombre_del_espacio,longitude,latitude,tipo_de_cineclub,el_espacio_de_exhibicion_depende_de,ano_de_apertura,objetivo,frecuencia_de_exhibicion,tipo_de_poblacion,facebook,instagram,otra,estatus
POINT(-99.1862279 19.34839),102,Alianza francesa - San Ángel,"-99,1862279","19,34839",Presencial en un lugar fijo,Otros Gobiernos,2015,Promover el cine,Semanalmente,Comunidades específicas,https://www.facebook.com/Cine-Club-San-Ángel-192486671198892/,Sin información,Sin información,Activo
POINT(-99.1318912473493 19.4354920838676),343,Argentina 8mm,"-99,13189125","19,43549208",Mixto,Dependencia del Gobierno de la CDMX,2022,Garantizar el ejercicio de los derechos culturales,Semanalmente,Para todo público,instagram.com/autoridad_centrohistorico,Sin información,Sin información,Activo
POINT(-99.1438605426153 19.429856198866),138,Artesanas Colectiva                     (Punto Gozadera),"-99,14386054","19,4298562",Presencial en un lugar fijo,Independiente,2020,Formar comunidad por medio del cine,Sin información,Para todo público,https://www.facebook.com/arteSanascolectiva/,Sin información,Sin información,Activo
POINT(-98.9966946 19.2695542),231,"Biblioteca ""José Martí""","-98,9966946","19,2695542",Presencial en un lugar fijo,Alcaldía,2019,Sin información,Dos veces por semana,Para todo público,Sin información,Sin información,Sin información,Activo
POINT(-99.0512242 19.2909083),246,Biblioteca Agrícola Metropolitana,"-99,0512242","19,2909083",Sin información,Alcaldía,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Activo
POINT(-99.1916238 19.5082611),253,Biblioteca Pública Jorge Alberto Menrique,"-99,1916238","19,5082611",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/profile.php?id=100083080882764,Sin información,https://sic.cultura.gob.mx/ficha.php?table=rnbp&table_id=81065,Activo
POINT(-99.1507955 19.447369),137,Biblioteca Vasconcelos,"-99,1507955","19,447369",Presencial en un lugar fijo,Dependencia de Gobierno Federal,Sin información,Promover el cine,Dos veces por semana,Para todo público,https://www.facebook.com/bibliotecavasconcelos.buenavista,Sin información,Sin información,Activo
POINT(-99.2038637825712 19.4050883302988),319,"CENTRO (Centro de diseño,cine y televisión)","-99,20386378","19,40508833",Presencial en un lugar fijo,Institución educativa privada,Sin información,Sin información,Sin información,Estudiantes,https://www.facebook.com/centro.edu.mx,Sin información,https://centro.edu.mx/,Activo
POINT(-99.14809170132 19.3396821802818),88,CENTRO CULTURAL REAL UNDER / CINEMAUNDER,"-99,1480917","19,33968218",Presencial en un lugar fijo,Independiente,2021,Formar públicos cinematográficos,Semanalmente,Sin información,Sin información,https://www.instagram.com/therealunder/?hl=es,Sin información,Activo
POINT(-99.1013282 19.4873148135201),67,CERES-CINE CLUB ,"-99,1013282","19,48731481",Presencial en un lugar fijo,Comunitario,2000,Formar comunidad por medio del cine,Fines de semana,Para todo público,https://www.facebook.com/alternativasculturalesydesustentabilidad/,Sin información,Sin información,Activo
POINT(-99.0498364338605 19.3108412863648),68,CINE CLUB Cine Vagabundo ,"-99,04983643","19,31084129",Mixto,Comunitario,2015,Promover el cine,Quincenalmente,Para todo público,https://www.facebook.com/people/Cinema-Vagabundo/100064822413152/,Sin información,Sin información,Activo
POINT(-99.1033650536789 19.4474653860858),8,CINE CLUB UNDERCITY,"-99,10336505","19,44746539",Mixto,Comunitario,2010,Garantizar el ejercicio de los derechos culturales,Quincenalmente,Para todo público,https://www.facebook.com/colectivo.semilleros,Sin información,http://colectivoculturalsemilleros.blogspot.com,Activo
POINT(-99.1982025700997 19.4531819026738),349,CINE CON-SENTIDO,"-99,19820257","19,4531819",Presencial en un lugar fijo,Independiente,2020,Garantizar el ejercicio de los derechos culturales,Quincenal,Adultos mayores,https://www.facebook.com/piel.dejaguar.5,Sin información,Sin información,Activo
POINT(-99.1384575608407 19.4580294229059),101,CINECLUB Barrio Warrior Colectivo A.C.,"-99,13845756","19,45802942",Presencial en un lugar fijo,Independiente,2022,Promover el cine,Trimestralmente,Comunidades específicas,https://www.facebook.com/BWColectivo,https://www.instagram.com/BWColectivo/?fbclid=IwAR0xUwdLbzpW__gHLjmNWCKn_wkZQKPhIdRPTfcoRdshbKtm8UFQgmAddFA,Sin información,Activo
POINT(-99.1095124643844 19.318648),42,CINECLUB CULHUACÁN,"-99,10951246","19,318648",Presencial en un lugar fijo,Comunitario,2014,Formar comunidad por medio del cine,Fines de semana,Para todo público,https://www.facebook.com/SendecomuniempAC/,Sin información,Sin información,Activo
POINT(-99.1479996935196 19.4495972405689),150,Campamentos Unidos (Sede Zaragoza),"-99,14799969","19,44959724",Presencial en un lugar fijo,Comunitario,2015,Formar públicos cinematográficos,Mensualmente,Para todo público,Sin información,Sin información,Sin información,Activo
POINT(-99.1458963 19.4424262),149,Campamentos Unidos (Sede Zarco),"-99,1458963","19,4424262",Presencial en un lugar fijo,Comunitario,2015,Formar públicos cinematográficos,Mensualmente,Para todo público,Sin información,Sin información,Sin información,Activo
POINT(-99.159064 19.4145754),141,Casa Chicha,"-99,159064","19,4145754",Presencial en un lugar fijo,Independiente,Sin información,Sin información,Semanalmente,Sin información,https://www.facebook.com/profile.php?id=100069104183723,Sin información,Sin información,Activo
